Patient Information,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Screen,Unnamed: 6,Week 4,Unnamed: 8,Unnamed: 9,Week 8,Unnamed: 11,Unnamed: 12,Week 12,Unnamed: 14,Unnamed: 15,Week 16,Unnamed: 17,Unnamed: 18,Week 20,Unnamed: 20,Unnamed: 21,Week 24,Unnamed: 23,Unnamed: 24,Week 28,Unnamed: 26,Unnamed: 27,Week 32,Unnamed: 29,Unnamed: 30,Week 36,Unnamed: 32,Unnamed: 33,Week 40,Unnamed: 35,Unnamed: 36,Week 44,Unnamed: 38,Unnamed: 39,Week 48,Unnamed: 41,Unnamed: 42,Week 52,Unnamed: 44,Unnamed: 45,Week 60,Unnamed: 47,Unnamed: 48,Week 68,Unnamed: 50,Unnamed: 51,Week 76,Unnamed: 53,Unnamed: 54,Week 84,Unnamed: 56,Unnamed: 57,Week 92,Unnamed: 59,Unnamed: 60,Week 100,Unnamed: 62,Unnamed: 63,Week 104,Unnamed: 65,Unnamed: 66
01-047,,,OD,2,61,3.43,53,1,1.71,53,1,1.21,53,1,1.3,53,1,1.56,53,1,1.99,47,2,2.21,47,2,1.87,47,2,2.1,43,3,2.4,43,3,3.2,43,3,1.6,43,3,1.77,43,3,1.79,Missed,,,43,3,3.52,43,3,1.16,43,3,2.12,43,3,3.39,43,3,1.73,43,3,1.28
02-008,,,OD,2,71,2.7,71,0,,71,0,,71,0,0.69,71,0,1.94,65,1,1.85,Missed,,,65,1,0.74,65,1,0.67,53,3,0.59,53,3,1.18,53,3,0.57,53,3,0.68,53,3,1.32,Missed,,,65,1,5.46,,,,53,3,1.5,65,1,2.1,53,3,0.8,,,
02-010,,,OD,2,53,1.97,53,0,,53,0,0.84,53,0,0.83,35,3,0.72,43,2,1.46,43,2,0.44,47,1,0.92,47,1,0.52,47,1,0.78,Dropped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015,,,OD,2,53,2.89,53,0,0.3,53,0,0.28,47,1,0.3,Visit Not Completed,,,47,1,0.3,47,1,0.14,47,1,0.35,43,2,0.26,43,2,2.28,43,2,0.42,43,2,1.7,43,2,0.66,43,2,0.91,,,,,,,,,,,,,,,,53,0,3.27,53,0,2.2
02-017,,,OD,2,65,2.59,65,0,0.82,61,1,0.7,43,4,1.76,43,4,1.09,43,4,0.52,35,5,1.37,35,5,0.26,35,5,1.2,35,5,0.74,35,5,0.65,35,5,0.56,35,5,0.87,35,5,0.87,Missed,,,61,1,5.1,35,5,2.4,35,5,2.31,35,5,2.41,35,5,1.79,35,5,3.15
02-029,,,OS,2,71,5.52,65,1,2.28,65,1,1.83,61,2,3.42,61,2,2.5,53,3,1.89,53,3,1.62,LTFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-031,,,OD,2,53,4.84,53,0,0.36,53,0,0.52,53,0,0.73,47,1,0.74,43,2,0.27,43,2,0.66,43,2,0.82,43,2,1.35,43,2,4.69,43,2,0.47,43,2,0.31,43,2,0.56,43,2,1.14,47,1,8.37,47,1,0.5,47,1,1.96,47,1,4.05,,,,43,2,0.97,43,2,4.11
02-036,,,OD,2,53,0.35,53,0,0.01,53,0,0.01,53,0,0.02,53,0,0.01,43,2,0.01,43,2,0.02,43,2,0.02,47,1,0.16,47,1,0.1,47,1,0.1,47,1,0.17,47,1,0.2,47,1,0.03,43,2,0.04,43,2,0.06,43,2,0.07,43,2,0.02,47,1,0.26,43,2,0.01,43,2,0.01
02-039,,,OD,2,53,7.25,53,0,0.12,53,0,0.18,53,0,0.15,53,0,0.08,43,2,0.07,43,2,0.08,Missed,,,Missed,,,53,0,2.25,53,0,0.04,53,0,0.05,47,1,0.09,47,1,1.72,53,0,2.29,53,0,7.45,47,1,0.37,47,1,0.88,53,0,5.43,47,1,0.11,43,2,0.47
02-041,,,OS,2,71,1.38,65,1,2.37,65,1,1.45,53,3,0.34,53,3,1.09,53,3,1.48,53,3,0.89,53,3,0.91,53,3,0.92,53,3,0.93,53,3,0.35,53,3,1.64,53,3,0.26,,,,,,,,,,,,,,,,,,,,,,,,
02-042,,,OS,2,53,0.96,53,0,0.05,53,0,,53,0,0.02,43,2,0.02,43,2,0,Missed,,,43,2,0.01,43,2,0.003,43,2,0.15,43,2,0.14,43,2,0.17,43,2,0.28,43,2,0.22,43,2,0.19,47,1,0.59,,,0.17,47,1,1.13,43,2,0.1,43,2,0.25,43,2,2.45
01-012,,,OD,1,53,2.44,53,0,0.14,53,0,0.14,43,2,0.11,43,2,0.4,43,2,1.75,47,1,1.17,43,2,0.06,43,2,0.78,43,2,0.79,43,2,0.64,47,1,2.11,43,2,0.03,43,2,0.16,Missed,,,53,0,1.72,43,2,0.48,Missed,,,Missed,,,Missed,,,53,0,1.25
01-020,,,OS,1,71,2.3,65,1,0.92,65,1,0.74,65,1,0.58,65,1,0.93,65,1,0.66,61,2,1.07,65,1,5.48,65,1,0.81,65,1,0.5,61,2,0.31,61,2,5,71,0,5.01,Missed,,,61,2,8.57,65,1,6.65,61,2,5.79,71,0,3.25,71,0,5.71,65,1,2.47,65,1,8.08
01-025,,,OD,1,53,4.87,53,0,0.43,53,0,0.1,53,0,0.22,53,0,0.16,53,0,0.39,43,2,0.16,43,2,0.29,43,2,0.75,43,2,2.04,47,1,2.85,43,2,0.15,43,2,1.06,43,2,1.97,43,2,4.76,61,-1,2.79,Missed,,,43,2,3.37,43,2,4.01,53,0,1.2,43,2,0.54
01-026,,,OD,1,65,2.57,53,2,3.4,61,1,2.78,61,1,1.49,53,2,1.75,53,2,1.44,61,1,3.86,61,1,2.62,53,2,1.98,Missed,,,Missed,,,53,2,1.07,61,1,7.42,Missed,,,Missed,,,61,1,5.8,61,1,1.97,Missed,,,61,1,10.72,61,1,3.92,53,2,1.08
01-037,,,OS,1,53,0.35,53,0,0.15,Missed,,,53,0,0.12,LTFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-040,,,OD,1,61,3.57,53,1,0.05,53,1,0.06,53,1,0.01,43,3,0.02,43,3,0.01,43,3,0.6,43,3,4.31,53,1,5.42,43,3,0.02,43,3,0.09,43,3,1.97,43,3,0.79,65,-1,10.32,65,-1,0.44,65,-1,0.47,43,3,0.17,53,1,8.12,43,3,0.43,65,-1,5.35,43,3,0.28
01-048,,,OD,1,71,5.53,65,1,1.4,53,3,0.9,53,3,0.55,53,3,1.61,53,3,3.72,53,3,3.72,53,3,2.12,61,2,2.88,53,3,0.61,53,3,1.19,53,3,1.49,53,3,2.14,65,1,1.78,53,3,0.72,53,3,1.68,65,1,3.49,53,3,0.84,53,3,1.68,65,1,2.12,53,3,0.73
02-004,,,OD,1,61,4.16,53,1,0.01,Missed,,,53,1,0.06,53,1,0.03,53,1,0.04,53,1,0.02,Missed,,,Missed,,,Missed,,,Missed,,,Missed,,,Missed,,,53,1,3.44,Missed,,,Missed,,,53,1,4.92,53,1,0.05,,,,,,,,,
02-005,,,OS,1,61,0.8,61,0,0.13,53,1,0.06,53,1,0.1,53,1,0.05,47,2,0.11,47,2,0.08,47,2,0.75,47,2,1.29,53,1,2.68,43,3,0.08,43,3,0.02,43,3,0.76,61,0,0.9,Missed,,,Missed,,,Missed,,,61,0,1.01,53,1,0.21,43,3,0.1,61,0,1.11
02-016,,,OS,1,53,0.31,53,0,0.01,53,0,0.04,53,0,0.01,43,2,0.01,53,0,0.11,53,0,0.08,43,2,0.05,43,2,0.07,43,2,0.39,43,2,0.45,43,2,0.74,53,0,1.51,43,2,0.07,,,,,,,,,,,,,,,,,,,,,
02-018,,,OD,1,53,0.33,53,0,0.08,47,1,0.09,43,2,0.04,43,2,0.07,47,1,0.46,43,2,0.04,43,2,0.28,43,2,0.66,43,2,0.27,43,2,0.76,43,2,1.26,43,2,1.13,43,2,0.89,,,,,,,,,,,,,,,,,,,,,
02-019,,,OS,1,71,1.45,65,1,0.17,61,2,0.09,61,2,0.06,61,2,0.15,61,2,3.08,65,1,1.45,61,2,0.06,53,3,0.05,53,3,0.06,LTFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-024,,,OD,1,61,1.91,43,3,0.02,43,3,0.46,53,1,2.04,53,1,0.63,53,1,0.85,43,3,0.31,43,3,0.31,43,3,0.64,43,3,0.65,43,3,0.76,43,3,0.6,47,2,0.51,43,3,0.37,43,3,0.74,47,2,0.66,43,3,0.24,43,3,0.7,53,1,0.21,53,1,0.26,43,3,0.22
02-030,,,OD,1,71,5.17,71,0,0.17,65,1,0.14,65,1,0.08,61,2,0.13,53,3,0.25,53,3,0.91,61,2,1.77,61,2,0.08,53,3,0.04,53,3,0.03,61,2,0.41,53,3,0.07,53,3,0.06,,,,,,,,,,,,,,,,,,,,,
02-032,,,OS,1,53,1.66,53,0,0.35,53,0,0.41,53,0,0.46,47,1,0.42,47,1,0.22,47,1,0.6,47,1,0.42,47,1,0.3,43,2,0.19,43,2,0.35,43,2,1.4,53,0,1.56,53,0,0.19,Missed,,,53,0,0.81,Missed,,,53,0,2.06,43,2,0.44,43,2,1.03,47,1,0.96
02-034,,,OD,1,65,2.6,65,0,0.02,Missed,,,Missed,,,61,1,0.38,53,2,0.08,,,,53,2,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-043,,,OD,1,53,0.85,53,0,0.41,53,0,0.2,53,0,0.28,43,2,0.11,43,2,0.1,43,2,0.81,43,2,0.93,43,2,0.76,47,1,0.76,43,2,0.25,43,2,0.44,43,2,0.52,43,2,1.36,47,1,0.78,47,1,0.46,43,2,0.39,43,2,0.71,47,1,0.7,43,2,0.71,43,2,0.54
02-044,,,OS,1,53,1.33,53,0,0.03,53,0,0.02,43,2,0.02,43,2,0.01,43,2,0.05,43,2,0.01,43,2,0.01,Missed,,,43,2,0.13,LTFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-045,,,OS,1,53,1.67,53,0,0.53,53,0,0.61,53,0,0.45,53,0,0.44,53,0,0.38,53,0,0.2,43,2,0.44,53,0,2.26,53,0,0.33,53,0,0.21,Missed,,,53,0,1.87,53,0,0.45,47,1,1.13,53,0,1.31,65,-2,1.42,47,1,2.38,47,1,3.31,43,2,0.64,47,1,4.05
02-046,,,OD,1,71,6.39,65,1,2.17,65,1,2.39,61,2,2.43,61,2,1.91,65,1,4.21,61,2,0.88,61,2,2.08,Missed,,,Missed,,,71,0,5.85,61,2,2.91,61,2,3.03,65,1,4.54,61,2,1.67,Missed,,,Missed,,,Missed,,,Missed,,,71,0,6.22,65,1,4.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DRSS Scale,,,,Missed Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No DR,10,DR Absent,,1,LTFU - loss to follow up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,Microaneurysms,,2,PDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPDR,35,Mild,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,Moderate,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,Moderately severe,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,Severe,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDR,61,Mild,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,Moderate,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,High-risk,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,Advanced,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,Cannot grade,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Baseline,,,,W24,,,,W52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
